10	12	16	0.081	80.5	80.4	81.6	0.090	0.091	0.090
10	13	16	0.082	95.0	96.0	95.8	0.022	0.015	0.016
10	23	24	0.081	99.0	99.3	99.1	0.004	0.005	0.003
10	19	24	0.081	81.0	83.2	85.5	0.058	0.050	0.063
10	19	23	0.081	91.9	92.1	92.6	0.034	0.026	0.034
10	22	23	0.081	80.5	82.1	84.6	0.070	0.063	0.073
10	22	24	0.081	92.100	91.6	89.6	0.076	0.060	0.068
10	17	24	0.082	95.0	93.7	95.3	0.026	0.025	0.025
10	18	24	0.082	76.3	75.4	75.9	0.090	0.097	0.103
10	20	24	0.082	116.9	117.0	116.8	-0.065	-0.069	-0.070
11	21	24	0.077	107.7	100.5	100.7	0.000	0.000	0.002
11	26	24	0.077	75.6	76.3	75.9	0.114	0.124	0.117
11	27	24	0.077	78.5	79.3	78.5	0.108	0.102	0.103
